#
#"Frequency / GHz","S1,6 [Magnitude in dB]"
#------------------------------------------
1.0000000000000,-23.284048560914
1.0019999742508,-23.329281627399
1.0039999485016,-23.377061139595
1.0060000419617,-23.427190804646
1.0080000162125,-23.479467318946
1.0099999904633,-23.533686136633
1.0119999647141,-23.589637684590
1.0140000581741,-23.647112324931
1.0160000324249,-23.705900184982
1.0180000066757,-23.765790744718
1.0199999809265,-23.826574011662
1.0219999551773,-23.888048130219
1.0240000486374,-23.950012125289
1.0260000228882,-24.012271622737
1.0279999971390,-24.074641566465
1.0299999713898,-24.136944972758
1.0319999456406,-24.199015969689
1.0340000391006,-24.260699833500
1.0360000133514,-24.321854955873
1.0379999876022,-24.382353851521
1.0399999618530,-24.442082434177
1.0420000553131,-24.500943531502
1.0440000295639,-24.558855545271
1.0460000038147,-24.615751605979
1.0479999780655,-24.671581651288
1.0499999523163,-24.726310736191
1.0520000457764,-24.779917487602
1.0540000200272,-24.832397987957
1.0559999942780,-24.883758798409
1.0579999685287,-24.934019846187
1.0599999427795,-24.983210599494
1.0620000362396,-25.031371481951
1.0640000104904,-25.078549258869
1.0659999847412,-25.124799318184
1.0679999589920,-25.170178899068
1.0700000524521,-25.214751358875
1.0720000267029,-25.258578725925
1.0740000009537,-25.301725133949
1.0759999752045,-25.344252826421
1.0779999494553,-25.386222850589
1.0800000429153,-25.427690345399
1.0820000171661,-25.468708785039
1.0839999914169,-25.509323292594
1.0859999656677,-25.549576056677
1.0880000591278,-25.589502349228
1.0900000333786,-25.629127733197
1.0920000076294,-25.668475753674
1.0939999818802,-25.707560052258
1.0959999561310,-25.746389365577
1.0980000495911,-25.784967637672
1.1000000238419,-25.823291818750
1.1019999980927,-25.861355521153
1.1039999723434,-25.899147444853
1.1059999465942,-25.936655283472
1.1080000400543,-25.973863814905
1.1100000143051,-26.010755459335
1.1119999885559,-26.047317286522
1.1139999628067,-26.083533038497
1.1160000562668,-26.119392461398
1.1180000305176,-26.154884602105
1.1200000047684,-26.190008250664
1.1219999790192,-26.224761886410
1.1239999532700,-26.259153243059
1.1260000467300,-26.293196303447
1.1280000209808,-26.326909891638
1.1299999952316,-26.360322769727
1.1319999694824,-26.393470967365
1.1339999437332,-26.426396557324
1.1360000371933,-26.459150109252
1.1380000114441,-26.491788680608
1.1399999856949,-26.524377519242
1.1419999599457,-26.556988002440
1.1440000534058,-26.589695754165
1.1460000276566,-26.622581922742
1.1480000019073,-26.655732429600
1.1499999761581,-26.689235701512
1.1519999504089,-26.723182256292
1.1540000438690,-26.757663986303
1.1560000181198,-26.792770781557
1.1579999923706,-26.828594886083
1.1599999666214,-26.865225302605
1.1619999408722,-26.902747204074
1.1640000343323,-26.941241243304
1.1660000085831,-26.980785260704
1.1679999828339,-27.021451104745
1.1699999570847,-27.063302241461
1.1720000505447,-27.106397303284
1.1740000247955,-27.150786736168
1.1759999990463,-27.196513537913
1.1779999732971,-27.243610596571
1.1799999475479,-27.292106561577
1.1820000410080,-27.342015268195
1.1840000152588,-27.393348006344
1.1859999895096,-27.446102847222
1.1879999637604,-27.500272385979
1.1900000572205,-27.555841555791
1.1920000314713,-27.612784840346
1.1940000057220,-27.671073410095
1.1959999799728,-27.730670155127
1.1979999542236,-27.791530600123
1.2000000476837,-27.853610495646
1.2020000219345,-27.916856301081
1.2039999961853,-27.981215932261
1.2059999704361,-28.046630707517
1.2079999446869,-28.113044054331
1.2100000381470,-28.180398593900
1.2120000123978,-28.248638066927
1.2139999866486,-28.317707182096
1.2159999608994,-28.387555693816
1.2180000543594,-28.458135769829
1.2200000286102,-28.529403444447
1.2220000028610,-28.601322608728
1.2239999771118,-28.673862607797
1.2259999513626,-28.746999577042
1.2280000448227,-28.820716727626
1.2300000190735,-28.895004673054
1.2319999933243,-28.969863200879
1.2339999675751,-29.045298524166
1.2359999418259,-29.121324156132
1.2380000352859,-29.197964470975
1.2400000095367,-29.275247567271
1.2419999837875,-29.353208800477
1.2439999580383,-29.431888987103
1.2460000514984,-29.511334952685
1.2480000257492,-29.591597701170
1.2500000000000,-29.672729630511
1.2519999742508,-29.754786969265
1.2539999485016,-29.837824445118
1.2560000419617,-29.921899327835
1.2580000162125,-30.007067044260
1.2599999904633,-30.093376738056
1.2619999647141,-30.180877473704
1.2640000581741,-30.269613283492
1.2660000324249,-30.359619221500
1.2680000066757,-30.450926077503
1.2699999809265,-30.543556022387
1.2719999551773,-30.637521343187
1.2740000486374,-30.732826732396
1.2760000228882,-30.829466182735
1.2779999971390,-30.927422509368
1.2799999713898,-31.026670289623
1.2819999456406,-31.127170612092
1.2840000391006,-31.228876431201
1.2860000133514,-31.331729192953
1.2879999876022,-31.435660198875
1.2899999618530,-31.540592440140
1.2920000553131,-31.646440748059
1.2940000295639,-31.753110957237
1.2960000038147,-31.860504206255
1.2979999780655,-31.968516732496
1.2999999523163,-32.077039878328
1.3020000457764,-32.185964444519
1.3040000200272,-32.295181445104
1.3059999942780,-32.404581707276
1.3079999685287,-32.514062073636
1.3099999427795,-32.623522423198
1.3120000362396,-32.732870359427
1.3140000104904,-32.842023747735
1.3159999847412,-32.950908484661
1.3179999589920,-33.059464701245
1.3200000524521,-33.167641849229
1.3220000267029,-33.275408969299
1.3240000009537,-33.382744231777
1.3259999752045,-33.489644548648
1.3279999494553,-33.596120141485
1.3300000429153,-33.702197136973
1.3320000171661,-33.807915063844
1.3339999914169,-33.913328495732
1.3359999656677,-34.018501532492
1.3380000591278,-34.123511047506
1.3400000333786,-34.228443308602
1.3420000076294,-34.333388564850
