frequency,refcoef
1.0000000000000,-11.484995717536
1.0019999742508,-11.404019033815
1.0039999485016,-11.325848324569
1.0060000419617,-11.250465200395
1.0080000162125,-11.177851759616
1.0099999904633,-11.107986000462
1.0119999647141,-11.040841403505
1.0140000581741,-10.976393029642
1.0160000324249,-10.914613232133
1.0180000066757,-10.855467102092
1.0199999809265,-10.798925134405
1.0219999551773,-10.744948170013
1.0240000486374,-10.693497923270
1.0260000228882,-10.644536004054
1.0279999971390,-10.598018491350
1.0299999713898,-10.553898913449
1.0319999456406,-10.512132435656
1.0340000391006,-10.472666608670
1.0360000133514,-10.435451036114
1.0379999876022,-10.400433113433
1.0399999618530,-10.367554582378
1.0420000553131,-10.336760420158
1.0440000295639,-10.307990980773
1.0460000038147,-10.281183757962
1.0479999780655,-10.256277536620
1.0499999523163,-10.233208804960
1.0520000457764,-10.211912861644
1.0540000200272,-10.192322422526
1.0559999942780,-10.174372674133
1.0579999685287,-10.157994947926
1.0599999427795,-10.143121060105
1.0620000362396,-10.129685272849
1.0640000104904,-10.117616823656
1.0659999847412,-10.106850122469
1.0679999589920,-10.097316175016
1.0700000524521,-10.088948599942
1.0720000267029,-10.081683092415
1.0740000009537,-10.075454551475
1.0759999752045,-10.070200217861
1.0779999494553,-10.065858405830
1.0800000429153,-10.062370547558
1.0820000171661,-10.059680757931
1.0839999914169,-10.057733199798
1.0859999656677,-10.056477163372
1.0880000591278,-10.055863782257
1.0900000333786,-10.055848466161
1.0920000076294,-10.056387935400
1.0939999818802,-10.057443403160
1.0959999561310,-10.058982112051
1.0980000495911,-10.060969736289
1.1000000238419,-10.063380990269
1.1019999980927,-10.066192153913
1.1039999723434,-10.069382784019
1.1059999465942,-10.072938714032
1.1080000400543,-10.076847279517
1.1100000143051,-10.081100487776
1.1119999885559,-10.085695736341
1.1139999628067,-10.090632039546
1.1160000562668,-10.095913163531
1.1180000305176,-10.101544743689
1.1200000047684,-10.107539098128
1.1219999790192,-10.113906842754
1.1239999532700,-10.120665569092
1.1260000467300,-10.127832191372
1.1280000209808,-10.135429359687
1.1299999952316,-10.143478775996
1.1319999694824,-10.152004020741
1.1339999437332,-10.161034223237
1.1360000371933,-10.170593985499
1.1380000114441,-10.180711437200
1.1399999856949,-10.191417076056
1.1419999599457,-10.202739299857
1.1440000534058,-10.214707464935
1.1460000276566,-10.227350411621
1.1480000019073,-10.240697065822
1.1499999761581,-10.254774757514
1.1519999504089,-10.269610462237
1.1540000438690,-10.285230448720
1.1560000181198,-10.301659603893
1.1579999923706,-10.318919447247
1.1599999666214,-10.337031994444
1.1619999408722,-10.356016097712
1.1640000343323,-10.375890440266
1.1660000085831,-10.396667621589
1.1679999828339,-10.418362387960
1.1699999570847,-10.440985425935
1.1720000505447,-10.464544258488
1.1740000247955,-10.489045800910
1.1759999990463,-10.514492771821
1.1779999732971,-10.540888021639
1.1799999475479,-10.568230384132
1.1820000410080,-10.596514413851
1.1840000152588,-10.625737512407
1.1859999895096,-10.655891363728
1.1879999637604,-10.686965592129
1.1900000572205,-10.718948525235
1.1920000314713,-10.751829237808
1.1940000057220,-10.785592686572
1.1959999799728,-10.820220398775
1.1979999542236,-10.855698141098
1.2000000476837,-10.892006918480
1.2020000219345,-10.929124650160
1.2039999961853,-10.967035841341
1.2059999704361,-11.005718162212
1.2079999446869,-11.045151998175
1.2100000381470,-11.085316099317
1.2120000123978,-11.126190313555
1.2139999866486,-11.167756135266
1.2159999608994,-11.209992362398
1.2180000543594,-11.252882755313
1.2200000286102,-11.296410195923
1.2220000028610,-11.340558881400
1.2239999771118,-11.385313612019
1.2259999513626,-11.430660374885
1.2280000448227,-11.476590771909
1.2300000190735,-11.523094236306
1.2319999933243,-11.570163174644
1.2339999675751,-11.617794304532
1.2359999418259,-11.665981878570
1.2380000352859,-11.714727318254
1.2400000095367,-11.764031218888
1.2419999837875,-11.813896717953
1.2439999580383,-11.864330256245
1.2460000514984,-11.915339612157
1.2480000257492,-11.966935711776
1.2500000000000,-12.019128536368
1.2519999742508,-12.071932390535
1.2539999485016,-12.125362288582
1.2560000419617,-12.179436478211
1.2580000162125,-12.234171926826
1.2599999904633,-12.289587915321
1.2619999647141,-12.345705780217
1.2640000581741,-12.402545296366
1.2660000324249,-12.460126565362
1.2680000066757,-12.518473283350
1.2699999809265,-12.577605645018
1.2719999551773,-12.637544376853
1.2740000486374,-12.698309130707
1.2760000228882,-12.759920349925
1.2779999971390,-12.822396085180
1.2799999713898,-12.885751972954
1.2819999456406,-12.950003445515
1.2840000391006,-13.015163212401
1.2860000133514,-13.081242712757
1.2879999876022,-13.148249154130
1.2899999618530,-13.216188198423
1.2920000553131,-13.285062259159
1.2940000295639,-13.354871119928
1.2960000038147,-13.425610552527
1.2979999780655,-13.497273933264
1.2999999523163,-13.569849702659
1.3020000457764,-13.643323931516
1.3040000200272,-13.717678664077
1.3059999942780,-13.792892557188
1.3079999685287,-13.868938583170
1.3099999427795,-13.945788079537
1.3120000362396,-14.023408046652
1.3140000104904,-14.101761700310
1.3159999847412,-14.180808271879
1.3179999589920,-14.260503871226
1.3200000524521,-14.340803276896
1.3220000267029,-14.421655246920
1.3240000009537,-14.503008889420
1.3259999752045,-14.584806846312
1.3279999494553,-14.666995144701
1.3300000429153,-14.749512199762
1.3320000171661,-14.832300456348
1.3339999914169,-14.915297060502
1.3359999656677,-14.998440218732
1.3380000591278,-15.081670382854
1.3400000333786,-15.164924821502
1.3420000076294,-15.248144565218
1.3439999818802,-15.331269958993
1.3459999561310,-15.414243547141
