frequency,phase
1.0000000000000,-106.54552979551
1.0019999742508,-108.54770430129
1.0039999485016,-110.53165650965
1.0060000419617,-112.49845070387
1.0080000162125,-114.44912507558
1.0099999904633,-116.38455607870
1.0119999647141,-118.30575124465
1.0140000581741,-120.21345020382
1.0160000324249,-122.10844672524
1.0180000066757,-123.99139151536
1.0199999809265,-125.86278314584
1.0219999551773,-127.72313243773
1.0240000486374,-129.57274778316
1.0260000228882,-131.41184773232
1.0279999971390,-133.24055948181
1.0299999713898,-135.05886769995
1.0319999456406,-136.86667981600
1.0340000391006,-138.66384043362
1.0360000133514,-140.45001658636
1.0379999876022,-142.22484259225
1.0399999618530,-143.98791933110
1.0420000553131,-145.73872720115
1.0440000295639,-147.47671324439
1.0460000038147,-149.20131879906
1.0479999780655,-150.91195422464
1.0499999523163,-152.60804204991
1.0520000457764,-154.28896420351
1.0540000200272,-155.95416448097
1.0559999942780,-157.60313537242
1.0579999685287,-159.23542665943
1.0599999427795,-160.85065738348
1.0620000362396,-162.44851113610
1.0640000104904,-164.02878562928
1.0659999847412,-165.59138279485
1.0679999589920,-167.13634396233
1.0700000524521,-168.66379325648
1.0720000267029,-170.17402992163
1.0740000009537,-171.66746480960
1.0759999752045,-173.14465717283
1.0779999494553,-174.60629045561
1.0800000429153,-176.05322445482
1.0820000171661,-177.48636243445
1.0839999914169,-178.90676864790
1.0859999656677,179.68435464000
1.0880000591278,178.28579142425
1.0900000333786,176.89624411347
1.0920000076294,175.51429163371
1.0939999818802,174.13858272843
1.0959999561310,172.76769506285
1.0980000495911,171.40025033477
1.1000000238419,170.03489525833
1.1019999980927,168.67033316761
1.1039999723434,167.30534708175
1.1059999465942,165.93877629085
1.1080000400543,164.56965280593
1.1100000143051,163.19705653447
1.1119999885559,161.82021201847
1.1139999628067,160.43852214576
1.1160000562668,159.05149876800
1.1180000305176,157.65881154292
1.1200000047684,156.26026244743
1.1219999790192,154.85586564082
1.1239999532700,153.44567594744
1.1260000467300,152.02994324690
1.1280000209808,150.60901579795
1.1299999952316,149.18339206692
1.1319999694824,147.75360057402
1.1339999437332,146.32032947357
1.1360000371933,144.88427796399
1.1380000114441,143.44625425785
1.1399999856949,142.00706634405
1.1419999599457,140.56757303733
1.1440000534058,139.12864462599
1.1460000276566,137.69114843216
1.1480000019073,136.25590738993
1.1499999761581,134.82372782073
1.1519999504089,133.39541226450
1.1540000438690,131.97163051523
1.1560000181198,130.55304183559
1.1579999923706,129.14020315987
1.1599999666214,127.73352840026
1.1619999408722,126.33340637732
1.1640000343323,124.94008707098
1.1660000085831,123.55373605334
1.1679999828339,122.17433782736
1.1699999570847,120.80185449422
1.1720000505447,119.43606046138
1.1740000247955,118.07662246055
1.1759999990463,116.72317961085
1.1779999732971,115.37514509493
1.1799999475479,114.03194778362
1.1820000410080,112.69290374922
1.1840000152588,111.35720301247
1.1859999895096,110.02407457886
1.1879999637604,108.69268705191
1.1900000572205,107.36215275616
1.1920000314713,106.03158165213
1.1940000057220,104.70013306644
1.1959999799728,103.36694149190
1.1979999542236,102.03125076452
1.2000000476837,100.69228821929
1.2020000219345,99.349397165842
1.2039999961853,98.001951256966
1.2059999704361,96.649533084260
1.2079999446869,95.291718786330
1.2100000381470,93.928194981265
1.2120000123978,92.558775805204
1.2139999866486,91.183469342506
1.2159999608994,89.802309508923
1.2180000543594,88.415405364890
1.2200000286102,87.023132998910
1.2220000028610,85.625792293445
1.2239999771118,84.223937067327
1.2259999513626,82.818113734107
1.2280000448227,81.408996941577
1.2300000190735,79.997347480100
1.2319999933243,78.583956541190
1.2339999675751,77.169676193386
1.2359999418259,75.755431021200
1.2380000352859,74.342136103695
1.2400000095367,72.930753620865
1.2419999837875,71.522243415762
1.2439999580383,70.117582436795
1.2460000514984,68.717652049810
1.2480000257492,67.323391979469
1.2500000000000,65.935669601660
1.2519999742508,64.555266708333
1.2539999485016,63.182924661792
1.2560000419617,61.819297415968
1.2580000162125,60.464986126325
1.2599999904633,59.120463790710
1.2619999647141,57.786132374042
1.2640000581741,56.462250512653
1.2660000324249,55.148995245259
1.2680000066757,53.846421563122
1.2699999809265,52.554467385649
1.2719999551773,51.272965350978
1.2740000486374,50.001641196824
1.2760000228882,48.740109464404
1.2779999971390,47.487884567362
1.2799999713898,46.244400628089
1.2819999456406,45.009012136847
1.2840000391006,43.781012570675
1.2860000133514,42.559640519977
1.2879999876022,41.344101889075
1.2899999618530,40.133589811779
1.2920000553131,38.927291323759
1.2940000295639,37.724411102839
1.2960000038147,36.524189517859
1.2979999780655,35.325903123999
1.2999999523163,34.128906007946
1.3020000457764,32.932631836036
1.3040000200272,31.736602147277
1.3059999942780,30.540430161720
1.3079999685287,29.343851106229
1.3099999427795,28.146729207625
1.3120000362396,26.949027061472
1.3140000104904,25.750847639934
1.3159999847412,24.552422751924
1.3179999589920,23.354097533532
1.3200000524521,22.156345435886
1.3220000267029,20.959753573360
1.3240000009537,19.765009479386
1.3259999752045,18.572905498206
1.3279999494553,17.384315515573
1.3300000429153,16.200198874599
1.3320000171661,15.021557490130
1.3339999914169,13.849453824157
1.3359999656677,12.684971915955
1.3380000591278,11.529216242119
1.3400000333786,10.383282550154
1.3420000076294,9.2482454183655
1.3439999818802,8.1251449553040
1.3459999561310,7.0149554610851
1.3480000495911,5.9185821298164
1.3500000238419,4.8368328087967
1.3519999980927,3.7704061941035
1.3539999723434,2.7198754865078
1.3559999465942,1.6856710070827
1.3580000400543,0.66807101274559
1.3600000143051,-0.33281146647198
1.3619999885559,-1.3170347929890
