frequency, refcoef
1.000734214390602, -22.165450121654487
1.0227606461086636, -21.43552311435522
1.0484581497797356, -20.46228710462286
1.079662261380323, -19.367396593673956
1.1108663729809103, -18.150851581508505
1.1420704845814977, -17.177615571776144
1.1787812041116006, -16.204379562043787
1.2136563876651982, -16.204379562043787
1.2485315712187959, -16.32603406326033
1.2870778267254037, -16.56934306569342
1.3292951541850218, -16.690997566909964
1.3641703377386196, -17.055961070559597
1.4027165932452275, -17.299270072992687
1.437591776798825, -17.542579075425778
1.474302496328928, -17.542579075425778
1.512848751835536, -17.542579075425778
1.5477239353891334, -17.420924574209234
1.578928046989721, -17.055961070559597
1.6082966226138031, -17.299270072992687
1.6431718061674008, -17.907542579075415
1.6798825256975034, -18.272506082725048
1.7147577092511015, -18.51581508515814
1.7459618208516887, -19.00243309002432
1.7863436123348015, -19.4890510948905
1.819383259911894, -20.097323600973223
1.8560939794419968, -20.94890510948904
1.890969162995595, -22.408759124087577
1.920337738619677, -23.74695863746957
1.949706314243759, -22.165450121654487
1.9680616740088106, -20.827250608272493
1.988252569750367, -19.24574209245741
2.017621145374449, -18.394160583941595
2.0488252569750367, -17.542579075425778
2.0781938325991187, -17.299270072992687
2.120411160058737, -17.177615571776144
2.1516152716593244, -17.299270072992687
2.186490455212922, -17.78588807785887
2.223201174743025, -18.51581508515814
2.2562408223201174, -18.51581508515814
2.28928046989721, -18.150851581508505
2.3113069016152714, -19.4890510948905
2.3370044052863435, -20.94890510948904
2.3645374449339207, -21.19221411192213
2.397577092511013, -21.070559610705587
2.414096916299559, -20.827250608272493
2.4361233480176208, -21.800486618004854
2.4563142437591776, -22.043795620437944
2.476505139500734, -23.503649635036485
2.4930249632892805, -26.666666666666654
1.0025697503671072, -27.51824817518247
1.0209251101321586, -26.423357664233563
1.0502936857562406, -25.32846715328466
1.0851688693098385, -23.86861313868612
1.1145374449339207, -22.773722627737214
1.145741556534508, -21.800486618004854
1.1824522760646108, -20.94890510948904
1.2173274596182084, -20.705596107055946
1.2503671071953009, -20.827250608272493
1.2870778267254037, -21.070559610705587
1.3274596182085168, -21.43552311435522
1.3641703377386196, -22.043795620437944
1.4027165932452275, -23.260340632603395
1.4394273127753303, -23.62530413625303
1.474302496328928, -23.74695863746957
1.514684287812041, -24.233576642335755
1.5495594713656387, -24.233576642335755
1.5770925110132157, -24.111922141119212
1.6064610866372981, -24.84184914841848
1.6395007342143906, -25.81508515815084
1.6743759177679882, -26.909975669099744
1.7092511013215859, -28.49148418491483
1.740455212922173, -30.316301703163006
1.7845080763582963, -35.30413625304135
1.8267254038179148, -49.41605839416057
1.8487518355359764, -42.725060827250594
1.8928046989720997, -32.627737226277354
1.920337738619677, -29.343065693430646
1.9515418502202642, -27.396593673965928
1.9717327459618206, -26.909975669099744
1.988252569750367, -26.7883211678832
2.0212922173274595, -25.936739659367387
2.0469897209985315, -25.32846715328466
2.076358296622614, -25.57177615571775
2.120411160058737, -27.639902676399014
2.147944199706314, -33.23600973236008
2.1791483113069017, -33.11435523114354
2.223201174743025, -25.32846715328466
2.254405286343612, -25.81508515815084
2.2856093979441994, -30.316301703163006
2.309471365638766, -26.30170316301702
2.333333333333333, -25.693430656934297
2.3627019089574155, -26.54501216545011
2.395741556534508, -27.639902676399014
2.414096916299559, -28.61313868613137
2.434287812041116, -28.00486618004865
2.447136563876652, -29.951338199513373
2.4691629955947136, -31.776155717761547
2.4930249632892805, -32.627737226277354
1.0025697503671072, -35.91240875912408
1.0209251101321586, -34.939172749391716
1.0521292217327458, -33.11435523114354
1.0870044052863435, -31.289537712895367
1.1145374449339207, -29.951338199513373
1.1475770925110131, -28.978102189781012
1.1824522760646108, -28.369829683698285
1.2173274596182084, -28.248175182481738
1.252202643171806, -28.49148418491483
1.2852422907488985, -28.73479318734792
1.3237885462555066, -29.2214111922141
1.3604992657856094, -29.951338199513373
1.3990455212922173, -30.19464720194646
1.437591776798825, -30.924574209245733
1.4687958883994126, -31.411192214111907
1.5110132158590308, -32.14111922141118
1.5477239353891334, -32.627737226277354
1.5770925110132157, -32.627737226277354
1.6082966226138031, -32.627737226277354
1.645007342143906, -32.627737226277354
1.6780469897209984, -32.627737226277354
1.7092511013215859, -32.871046228710455
1.740455212922173, -33.11435523114354
1.7826725403817916, -34.57420924574208
1.815712187958884, -35.66909975669098
1.8505873715124816, -36.88564476885643
1.8928046989720997, -37.615571776155704
1.920337738619677, -37.25060827250607
1.9533773861967694, -36.520681265206804
1.9717327459618206, -36.39902676399026
1.988252569750367, -36.15571776155716
2.017621145374449, -36.034063260340616
2.0469897209985315, -35.79075425790753
2.0781938325991187, -35.060827250608256
2.120411160058737, -34.45255474452553
2.147944199706314, -34.20924574209244
2.1791483113069017, -35.060827250608256
2.2195301027900145, -38.34549878345498
2.2507342143906017, -38.71046228710461
2.28928046989721, -44.54987834549877
2.3113069016152714, -39.68369829683697
2.3351688693098382, -38.9537712895377
2.3663729809104255, -38.9537712895377
2.3902349486049927, -42.725060827250594
2.408590308370044, -45.76642335766422
2.432452276064611, -49.659367396593666
2.447136563876652, -49.659367396593666
2.4673274596182084, -52.57907542579074
2.4948604992657857, -44.671532846715316
1.0025697503671072, -43.576642335766415
1.0209251101321586, -42.725060827250594
1.053964757709251, -40.65693430656933
1.0888399412628487, -38.588807785888065
1.118208516886931, -37.007299270072984
1.1494126284875184, -35.79075425790753
1.1806167400881056, -35.060827250608256
1.2173274596182084, -34.45255474452553
1.2503671071953009, -34.33090024330899
1.2852422907488985, -34.57420924574208
1.3219530102790014, -35.060827250608256
1.3604992657856094, -35.91240875912408
1.397209985315712, -36.27737226277372
1.4357562408223201, -37.128953771289524
1.4669603524229076, -37.8588807785888
1.5091776798825256, -37.615571776155704
1.5495594713656387, -36.15571776155716
1.5770925110132157, -35.547445255474436
1.6082966226138031, -35.547445255474436
1.6431718061674008, -35.30413625304135
1.6743759177679882, -35.66909975669098
1.7092511013215859, -35.547445255474436
1.740455212922173, -36.034063260340616
1.7863436123348015, -39.197080291970785
1.8248898678414096, -47.71289537712894
1.8505873715124816, -46.98296836982967
1.8928046989720997, -44.91484184914841
1.9185022026431717, -43.8199513381995
1.9515418502202642, -43.33333333333332
1.9717327459618206, -43.698296836982955
1.988252569750367, -44.30656934306568
2.0194566813509542, -45.88807785888076
2.0469897209985315, -46.861313868613124
2.076358296622614, -47.226277372262764
2.118575624082232, -47.226277372262764
2.1516152716593244, -45.88807785888076
2.186490455212922, -47.226277372262764
2.2195301027900145, -49.53771289537711
2.2507342143906017, -49.53771289537711
2.291116005873715, -47.10462287104621
2.3113069016152714, -54.76885644768855
2.329662261380323, -58.540145985401445
2.3627019089574155, -53.91727493917274
2.388399412628487, -50.63260340632602
2.414096916299559, -49.90267639902675
2.4306167400881056, -51.72749391727493
2.4434654919236416, -53.79562043795619
2.459985315712188, -54.16058394160583
2.4948604992657857, -58.4184914841849
1.0025697503671072, -40.41362530413624
1.0190895741556534, -39.927007299270066
1.053964757709251, -38.83211678832116
1.0870044052863435, -37.128953771289524
1.118208516886931, -35.79075425790753
1.1475770925110131, -34.57420924574208
1.184287812041116, -33.23600973236008
1.2173274596182084, -32.627737226277354
1.2503671071953009, -32.26277372262773
1.2834067547723933, -32.14111922141118
1.3219530102790014, -32.38442822384427
1.3604992657856094, -33.11435523114354
1.395374449339207, -33.72262773722626
1.4357562408223201, -35.30413625304135
1.4651248164464024, -36.76399026763989
1.5091776798825256, -39.68369829683697
1.5458883994126285, -41.99513381995133
1.5697503671071953, -44.18491484184914
