frequency,phase
0.50000000000000,-39.059310559575
0.50249999761581,-39.354820545064
0.50499999523163,-39.662569960787
0.50749999284744,-39.982724092450
0.50999999046326,-40.314898875360
0.51249998807907,-40.658201493827
0.51499998569489,-41.011281209440
0.51749998331070,-41.372435566434
0.51999998092651,-41.739694218134
0.52249997854233,-42.110974963485
0.52499997615814,-42.484145723268
0.52749997377396,-42.857199489707
0.52999997138977,-43.228322789409
0.53250002861023,-43.596019250176
0.53500002622604,-43.959185667117
0.53750002384186,-44.317157593627
0.54000002145767,-44.669765334288
0.54250001907349,-45.017329402151
0.54500001668930,-45.360640791437
0.54750001430511,-45.700930658143
0.55000001192093,-46.039757207544
0.55250000953674,-46.378973782932
0.55500000715256,-46.720573694012
0.55750000476837,-47.066607882177
0.56000000238419,-47.419050831775
0.56250000000000,-47.779705968967
0.56499999761581,-48.150103013198
0.56749999523163,-48.531426215668
0.56999999284744,-48.924454041496
0.57249999046326,-49.329555304208
0.57499998807907,-49.746628486422
0.57749998569489,-50.175190132745
0.57999998331070,-50.614362343040
0.58249998092651,-51.062971005002
0.58499997854233,-51.519605910374
0.58749997615814,-51.982714837836
0.58999997377396,-52.450675425070
0.59249997138977,-52.921927519730
0.59500002861023,-53.395010840358
0.59750002622604,-53.868735872977
0.60000002384186,-54.342127240273
0.60250002145767,-54.814598527380
0.60500001907349,-55.285880677769
0.60750001668930,-55.756125456086
0.61000001430511,-56.225881145912
0.61250001192093,-56.696007437350
0.61500000953674,-57.167686397314
0.61750000715256,-57.642358837377
0.62000000476837,-58.121638686967
0.62250000238419,-58.607169970889
0.62500000000000,-59.100699438800
0.62749999761581,-59.603756784249
0.62999999523163,-60.117789766563
0.63249999284744,-60.644007210205
0.63499999046326,-61.183311163246
0.63749998807907,-61.736315260431
0.63999998569489,-62.303243770828
0.64249998331070,-62.884055706935
0.64499998092651,-63.478358172001
0.64749997854233,-64.085534740547
0.64999997615814,-64.704731802629
0.65249997377396,-65.334954192074
0.65499997138977,-65.975058279423
0.65750002861023,-66.623988546762
0.66000002622604,-67.280689257383
0.66250002384186,-67.944209880429
0.66500002145767,-68.613820180055
0.66750001907349,-69.289051648133
0.67000001668930,-69.969626062057
0.67250001430511,-70.655664150911
0.67500001192093,-71.347465156064
0.67750000953674,-72.045711662347
0.68000000715256,-72.751335274345
0.68250000476837,-73.465508168561
0.68500000238419,-74.189535647894
0.68750000000000,-74.924947853183
0.68999999761581,-75.673236863966
0.69249999523163,-76.435997628095
0.69499999284744,-77.214652981248
0.69749999046326,-78.010582938581
0.69999998807907,-78.824986259375
0.70249998569489,-79.658883950969
0.70499998331070,-80.513012698311
0.70749998092651,-81.387939742899
0.70999997854233,-82.283951211096
0.71249997615814,-83.201129857635
0.71499997377396,-84.139392602073
0.71749997138977,-85.098481167860
0.72000002861023,-86.078012275582
0.72250002622604,-87.077576393926
0.72500002384186,-88.096743200073
0.72750002145767,-89.135109298846
0.73000001907349,-90.192381628032
0.73250001668930,-91.268389143814
0.73500001430511,-92.363125146500
0.73750001192093,-93.476814857823
0.74000000953674,-94.609847714695
0.74250000715256,-95.762885711423
0.74500000476837,-96.936776569769
0.74750000238419,-98.132613617527
0.75000000000000,-99.351658882996
0.75249999761581,-100.59535362321
0.75499999523163,-101.86523683162
0.75749999284744,-103.16296642122
0.75999999046326,-104.49021995757
0.76249998807907,-105.84869905075
0.76499998569489,-107.24006231337
0.76749998331070,-108.66589065769
0.76999998092651,-110.12766833875
0.77249997854233,-111.62674630939
0.77499997615814,-113.16435709552
0.77749997377396,-114.74156363299
0.77999997138977,-116.35928185817
0.78250002861023,-118.01829177926
0.78500002622604,-119.71924240287
0.78750002384186,-121.46265968942
0.79000002145767,-123.24898635091
0.79250001907349,-125.07859134372
0.79500001668930,-126.95178343679
0.79750001430511,-128.86885377346
0.80000001192093,-130.83008671143
0.80250000953674,-132.83578541181
0.80500000715256,-134.88627828737
0.80750000476837,-136.98193061674
0.81000000238419,-139.12314071988
0.81250000000000,-141.31035866276
0.81499999761581,-143.54410445900
0.81749999523163,-145.82487809899
0.81999999284744,-148.15322313967
0.82249999046326,-150.52969256876
0.82499998807907,-152.95483318759
0.82749998569489,-155.42909437434
0.82999998331070,-157.95291816098
0.83249998092651,-160.52665796694
0.83499997854233,-163.15051607523
0.83749997615814,-165.82456112202
0.83999997377396,-168.54875589920
0.84249997138977,-171.32278217163
0.84500002861023,-174.14623223597
0.84750002622604,-177.01842233689
0.85000002384186,-179.93838304537
0.85250002145767,177.09499245474
0.85500001907349,174.08312515083
0.85750001668930,171.02770788959
0.86000001430511,167.93066910776
0.86250001192093,164.79420524879
0.86500000953674,161.62074733363
0.86750000715256,158.41303248182
0.87000000476837,155.17397746639
0.87250000238419,151.90677297782
0.87500000000000,148.61479783541
0.87749999761581,145.30162357471
0.87999999523163,141.97097788397
0.88249999284744,138.62675172313
0.88499999046326,135.27293830300
0.88749998807907,131.91357790029
0.88999998569489,128.55275600248
0.89249998331070,125.19456914345
0.89499998092651,121.84305387612
0.89749997854233,118.50221604813
0.89999997615814,115.17585799074
0.90249997377396,111.86769678552
0.90499997138977,108.58122829419
0.90750002861023,105.31975738049
0.91000002622604,102.08637431002
0.91250002384186,98.883780066742
0.91500002145767,95.714682117988
0.91750001907349,92.581319032318
0.92000001668930,89.485877325755
0.92250001430511,86.430078067671
0.92500001192093,83.415669619536
0.92750000953674,80.444127435860
0.93000000715256,77.516789528608
0.93250000476837,74.634887981049
0.93500000238419,71.799621955430
0.93750000000000,69.012003199741
