#
#"Frequency / GHz","S1,6 [Magnitude in dB]"
#------------------------------------------
1.0000000000000,-23.275803421223
1.0019999742508,-23.317753182873
1.0039999485016,-23.362206432371
1.0060000419617,-23.408969804815
1.0080000162125,-23.457846786928
1.0099999904633,-23.508639629145
1.0119999647141,-23.561145136788
1.0140000581741,-23.615162094027
1.0160000324249,-23.670489433658
1.0180000066757,-23.726923593558
1.0199999809265,-23.784268755714
1.0219999551773,-23.842331377849
1.0240000486374,-23.900919062943
1.0260000228882,-23.959852177237
1.0279999971390,-24.018955826002
1.0299999713898,-24.078064381208
1.0319999456406,-24.137024916851
1.0340000391006,-24.195695024718
1.0360000133514,-24.253943467370
1.0379999876022,-24.311655139557
1.0399999618530,-24.368728192434
1.0420000553131,-24.425075404557
1.0440000295639,-24.480624190034
1.0460000038147,-24.535318759779
1.0479999780655,-24.589116742773
1.0499999523163,-24.641991886791
1.0520000457764,-24.693929120997
1.0540000200272,-24.744930338094
1.0559999942780,-24.795007794007
1.0579999685287,-24.844185000812
1.0599999427795,-24.892494734468
1.0620000362396,-24.939980213735
1.0640000104904,-24.986689445683
1.0659999847412,-25.032678556141
1.0679999589920,-25.078005292528
1.0700000524521,-25.122731978404
1.0720000267029,-25.166920387357
1.0740000009537,-25.210633706236
1.0759999752045,-25.253930864101
1.0779999494553,-25.296871458218
1.0800000429153,-25.339509901723
1.0820000171661,-25.381894678278
1.0839999914169,-25.424070421348
1.0859999656677,-25.466074969280
1.0880000591278,-25.507940284483
1.0900000333786,-25.549691790490
1.0920000076294,-25.591347445264
1.0939999818802,-25.632919856123
1.0959999561310,-25.674413951166
1.0980000495911,-25.715829071979
1.1000000238419,-25.757159891374
1.1019999980927,-25.798396094742
1.1039999723434,-25.839523116642
1.1059999465942,-25.880521377316
1.1080000400543,-25.921373585679
1.1100000143051,-25.962057570124
1.1119999885559,-26.002552800422
1.1139999628067,-26.042837006487
1.1160000562668,-26.082894060678
1.1180000305176,-26.122706923454
1.1200000047684,-26.162264353692
1.1219999790192,-26.201557881147
1.1239999532700,-26.240587660065
1.1260000467300,-26.279356018575
1.1280000209808,-26.317874539005
1.1299999952316,-26.356161816594
1.1319999694824,-26.394241149624
1.1339999437332,-26.432145563178
1.1360000371933,-26.469914806362
1.1380000114441,-26.507594595131
1.1399999856949,-26.545239729788
1.1419999599457,-26.582908621934
1.1440000534058,-26.620666431279
1.1460000276566,-26.658584692587
1.1480000019073,-26.696736588057
1.1499999761581,-26.735200454116
1.1519999504089,-26.774055900015
1.1540000438690,-26.813384431426
1.1560000181198,-26.853266719104
1.1579999923706,-26.893785347662
1.1599999666214,-26.935018521645
1.1619999408722,-26.977041949626
1.1640000343323,-27.019930444663
1.1660000085831,-27.063749799155
1.1679999828339,-27.108563874565
1.1699999570847,-27.154430724104
1.1720000505447,-27.201397690949
1.1740000247955,-27.249509767623
1.1759999990463,-27.298799834967
1.1779999732971,-27.349294755389
1.1799999475479,-27.401012487572
1.1820000410080,-27.453963723401
1.1840000152588,-27.508148655441
1.1859999895096,-27.563559515566
1.1879999637604,-27.620181579328
