,frequency,refcoef
266,1.71,-38.58881
267,1.74,-39.31873
268,1.79,-40.90024
269,1.81,-41.50852
270,1.85,-42.11679
271,1.89,-42.48175
272,1.92,-41.87348
273,1.95,-41.38686
274,1.97,-40.41363
275,1.99,-40.41363
276,2.02,-41.26521
277,2.04,-41.87348
278,2.08,-45.64477
279,2.11,-43.33333
280,2.15,-40.77859
281,2.18,-38.83212
282,2.22,-37.49392
283,2.25,-36.52068
284,2.28,-36.03406
285,2.31,-36.88564
286,2.33,-39.80535
287,2.36,-44.30657
288,2.39,-46.25304
289,2.41,-53.55231
290,2.43,-51.9708
291,2.45,-52.09246
292,2.47,-49.65937
293,2.49,-45.27981
294,1.0,-28.24818
295,1.02,-27.51825
296,1.05,-26.42336
297,1.09,-25.08516
298,1.11,-23.99027
299,1.15,-23.13869
300,1.18,-22.0438
301,1.22,-22.40876
302,1.25,-22.2871
303,1.29,-22.77372
304,1.33,-23.382
305,1.36,-23.6253
306,1.4,-24.11192
307,1.44,-24.47689
308,1.47,-24.47689
309,1.51,-24.9635
310,1.55,-24.11192
311,1.58,-25.32847
312,1.61,-27.27494
313,1.64,-29.22141
314,1.68,-31.6545
315,1.71,-34.20925
316,1.74,-37.0073
317,1.79,-40.53528
318,1.81,-43.09002
319,1.85,-43.81995
320,1.89,-41.87348
321,1.92,-41.0219
322,1.95,-40.53528
323,1.97,-41.26521
324,1.99,-41.63017
325,2.01,-42.48175
326,2.04,-42.84672
327,2.08,-50.87591
328,2.11,-45.27981
329,2.15,-43.6983
330,2.17,-44.91484
331,2.22,-42.72506
332,2.25,-35.42579
333,2.29,-32.62774
334,2.31,-32.50608
335,2.33,-33.72263
336,2.36,-37.49392
337,2.39,-40.41363
338,2.41,-38.83212
339,2.43,-45.40146
340,2.44,-58.54015
341,2.47,-45.0365
342,2.49,-37.49392
343,1.0,-23.382
344,1.02,-22.2871
345,1.05,-20.46229
346,1.08,-19.00243
347,1.11,-17.54258
348,1.14,-16.08273
349,1.18,-14.98783
350,1.22,-14.86618
351,1.25,-14.62287
352,1.29,-14.62287
353,1.33,-14.86618
354,1.36,-15.10949
355,1.41,-15.23114
356,1.44,-15.59611
357,1.47,-16.32603
358,1.51,-18.15085
359,1.55,-20.94891
360,1.58,-26.78832
361,1.61,-25.81509
362,1.64,-23.13869
363,1.68,-21.92214
364,1.72,-21.67883
365,1.75,-21.31387
366,1.79,-21.43552
367,1.82,-21.80049
368,1.86,-22.0438
369,1.89,-21.92214
370,1.92,-22.40876
371,1.95,-23.13869
372,1.97,-23.6253
373,1.99,-24.35523
374,2.02,-26.42336
375,2.05,-28.24818
376,2.08,-28.24818
377,2.12,-29.46472
378,2.14,-29.22141
379,2.18,-28.61314
380,2.22,-29.09976
381,2.25,-29.95134
382,2.28,-31.6545
383,2.3,-34.20925
384,2.33,-36.88564
385,2.35,-38.10219
386,2.39,-30.80292
387,2.41,-26.3017
388,2.43,-25.69343
389,2.45,-24.47689
390,2.47,-24.11192
391,2.49,-23.13869
