,frequency,fouriercoef
1947,4.6728000551224,(0.48405585518548655+0.19198482445349185j)
1948,4.6752000144957995,(0.5079788916810717+0.19529537152856857j)
1949,4.6775999738693,(0.5319867674148497+0.19832820946449825j)
1950,4.6800000524521,(0.5560463537978126+0.2011576404600648j)
1951,4.6824000118255995,(0.5801206744716954+0.20387402053327097j)
1952,4.684799971198999,(0.6041991570576943+0.2065346726415811j)
1953,4.6872000497818,(0.6282541245044015+0.20922803491742759j)
1954,4.689600009155299,(0.6522922460993117+0.2120011438278233j)
1955,4.6919999685287,(0.67631553657613+0.21491004347817366j)
1956,4.6944000471114995,(0.7003413066815005+0.2179945775185521j)
1957,4.696800006485,(0.724386135533738+0.22129240879519685j)
1958,4.6991999658585,(0.7484804374522263+0.22482628669896343j)
1959,4.7016000444412,(0.7726602265849207+0.2286066312142605j)
1960,4.7040000038147,(0.7969649183151697+0.23263513106669187j)
1961,4.7063999631882,(0.8214352953578441+0.23690672801193635j)
1962,4.7088000417709,(0.8461138728587869+0.2414014620571976j)
1963,4.7112000011444,(0.8710394224654499+0.24609909932794594j)
1964,4.713599960517899,(0.8962528852874776+0.250961680772134j)
1965,4.716000039100599,(0.9217838735670263+0.2559524475390429j)
1966,4.7183999984741,(0.947642308243692+0.26103549491332423j)
1967,4.7207999578476,(0.9738581337391778+0.2661535582722774j)
1968,4.723200036430399,(1.000425623479254+0.271257248218264j)
1969,4.725599995803799,(1.0273054253346157+0.27631238772382716j)
1970,4.7279999551772995,(1.0544926326171087+0.28125564215466525j)
1971,4.7304000337601,(1.0819190741008802+0.28605054664470053j)
1972,4.7327999931335,(1.1095186686624747+0.2906569050080421j)
1973,4.735199952506999,(1.1372151426564887+0.2950382813448744j)
1974,4.7376000310898,(1.164906822388808+0.29916524727352645j)
1975,4.7399999904633,(1.1924550085584218+0.30302939657481076j)
1976,4.7423999498367,(1.219746072479401+0.30661409943954254j)
1977,4.744800028419499,(1.2466215398346945+0.3099265189934286j)
1978,4.747199987793,(1.2729468647638336+0.3129740522578732j)
1979,4.749599947166399,(1.2985374525385693+0.3157846046580097j)
1980,4.7520000257492,(1.3232637237536533+0.31838408448613364j)
1981,4.754399985122699,(1.346960589845826+0.32081648699458043j)
1982,4.7567999444961995,(1.369474110226865+0.3231361300198383j)
1983,4.7592000230788996,(1.3906895490464926+0.3253968598889916j)
1984,4.7615999824524,(1.4104694673427822+0.3276617428794175j)
1985,4.763999941825899,(1.4287162794356252+0.3300042509997194j)
1986,4.766400020408599,(1.4453523314922776+0.3324949581756833j)
1987,4.7687999797821,(1.46032099556203+0.3352039453543725j)
1988,4.7712000583649,(1.4735905939974114+0.338205117476468j)
1989,4.7736000177383,(1.4851648232792525+0.3415731934760444j)
1990,4.7759999771118,(1.4950491011388918+0.3453717951786093j)
1991,4.7784000556946,(1.5032952529196861+0.349663984141527j)
1992,4.7808000150681,(1.5099718907643442+0.35450724997513205j)
1993,4.7831999744415,(1.5151682842086045+0.3599465778689037j)
1994,4.7856000530243,(1.5189766303677927+0.36602582940147066j)
1995,4.7880000123977995,(1.5215213235509548+0.3727722337592425j)
1996,4.790399971771199,(1.5229429212419154+0.3802054751159858j)
1997,4.792800050354,(1.5233635941396537+0.3883336782194622j)
1998,4.7952000097275,(1.522941335228504+0.39715538843844556j)
1999,4.797599969101,(1.5217971897904892+0.40665604677580625j)
2000,4.8000000476836995,(1.5200714815293435+0.4168058160091377j)
2001,4.8024000070572,(1.5179011689138322+0.4275715027169671j)
2002,4.8047999664307,(1.5153985805485437+0.4389033392715298j)
2003,4.8072000450134,(1.512660910240872+0.4507404256950007j)
2004,4.809600004386899,(1.5097880130117605+0.4630169407410669j)
2005,4.8119999637604,(1.5068465772334396+0.4756546275916449j)
2006,4.8144000423431,(1.503876822119664+0.48856444137476274j)
2007,4.816800001716599,(1.5009336930793555+0.5016645982105832j)
2008,4.8191999610901,(1.4980027864862868+0.5148524686322862j)
2009,4.8216000396729,(1.4950808075382231+0.5280301181082194j)
2010,4.8239999990463,(1.4921527309908327+0.5411065562344515j)
2011,4.8263999584198,(1.489153076584513+0.553976219632764j)
2012,4.828800037002599,(1.486035354835784+0.5665501984830694j)
2013,4.831199996376,(1.4827275898589107+0.5787470005019735j)
2014,4.8335999557494995,(1.479144207842264+0.5904830825137122j)
2015,4.8360000343323,(1.475195815501941+0.6016921460376032j)
2016,4.8383999937057,(1.4707825542584736+0.6123105792739914j)
2017,4.8407999530792,(1.4658190132578746+0.6223006200568104j)
2018,4.843200031662,(1.4602187313114312+0.6316358059246205j)
2019,4.8455999910355,(1.4538914712420405+0.6402980406773082j)
2020,4.8479999504089,(1.4467537054535917+0.6482850250988257j)
2021,4.8504000289917,(1.4387480583914298+0.6556212723809818j)
2022,4.8527999883651995,(1.429823901927568+0.6623368832990497j)
2023,4.855199947738599,(1.4199287917364982+0.66847469201603j)
2024,4.8576000263214,(1.4090559570722032+0.6741091906738834j)
2025,4.8599999856949,(1.3971894569727992+0.6793047409716886j)
2026,4.8623999450683995,(1.3843327227264943+0.68414611482092j)
2027,4.8648000236510995,(1.3705210926827647+0.6887333574858951j)
2028,4.8671999830246,(1.3557927097137723+0.6931679565519131j)
2029,4.8695999423981,(1.340185652097186+0.6975393436362047j)
2030,4.8720000209808,(1.3237884707719223+0.7019733679451505j)
2031,4.8743999803542994,(1.3066604165337958+0.706558083521827j)
2032,4.8768000589371,(1.2888960858536693+0.7114002262097179j)
2033,4.8792000183105,(1.2705937529107274+0.716596156798488j)
2034,4.881599977684,(1.251855594277533+0.7222359458954752j)
2035,4.8840000562668,(1.232786819678502+0.7283913307045244j)
2036,4.8864000156403,(1.2134990811824338+0.7351279338861403j)
2037,4.8887999750137,(1.1940996556921313+0.7424903069416757j)
2038,4.891200053596499,(1.1746982761607576+0.7505079312539396j)
2039,4.8936000129699995,(1.1554066491541182+0.7592140292538909j)
2040,4.8959999723434,(1.1363128873584145+0.7685768326986118j)
2041,4.8984000509262,(1.1175197841833828+0.7785852978054644j)
2042,4.900800010299699,(1.099113856765637+0.7892067528986546j)
2043,4.903199969673199,(1.0811690132205367+0.8003712069814632j)
2044,4.9056000482558995,(1.0637542758092149+0.8120076163996863j)
2045,4.9080000076294,(1.046914751708501+0.8240074838576725j)
2046,4.9103999670029,(1.0307009929402327+0.8362800924020277j)
2047,4.9128000455856,(1.015136675603662+0.8486999506567963j)
2048,4.915200004959099,(1.000234899077169+0.8611385485051621j)
2049,4.9175999643326,(0.9860018234078964+0.873464990377379j)
2050,4.9200000429153,(0.9724237153500699+0.8855480778730143j)
2051,4.9224000022888,(0.9594800380500619+0.8972551254411043j)
2052,4.9247999616623,(0.9471316890812904+0.9084555773978324j)
2053,4.9272000402451,(0.9353386999692592+0.9190388561608418j)
2054,4.9295999996185,(0.9240422288884087+0.9288971343070996j)
2055,4.931999958992,(0.9131828654597687+0.9379480755529973j)
2056,4.9344000375748,(0.9026912884814369+0.9461117060376796j)
2057,4.936799996948199,(0.8924954495754509+0.9533426740425469j)
2058,4.9391999563216995,(0.8825194411411523+0.9596097496873666j)
