#
#"Frequency / GHz"	"S1,6 [Phase in Degrees]"
#-------------------------------------------
1.0000000000000	-57.644931416790
1.0019999742508	-60.549660395520
1.0039999485016	-63.426012470525
1.0060000419617	-66.273701233827
1.0080000162125	-69.092554562783
1.0099999904633	-71.882440248297
1.0119999647141	-74.643333933981
1.0140000581741	-77.375292807472
1.0160000324249	-80.078449163687
1.0180000066757	-82.753042035394
1.0199999809265	-85.399405910598
1.0219999551773	-88.017936129383
1.0240000486374	-90.609152946749
1.0260000228882	-93.173636284397
1.0279999971390	-95.712055850535
1.0299999713898	-98.225182585646
1.0319999456406	-100.71383029009
1.0340000391006	-103.17885266458
1.0360000133514	-105.62126655668
1.0379999876022	-108.04201470834
1.0399999618530	-110.44215735303
1.0420000553131	-112.82274650643
1.0440000295639	-115.18484279498
1.0460000038147	-117.52953704206
1.0479999780655	-119.85790774399
1.0499999523163	-122.17104686125
1.0520000457764	-124.46992661642
1.0540000200272	-126.75560599160
1.0559999942780	-129.02902125252
1.0579999685287	-131.29106955504
1.0599999427795	-133.54260091114
1.0620000362396	-135.78441964216
1.0640000104904	-138.01715432801
1.0659999847412	-140.24151635220
1.0679999589920	-142.45806275721
1.0700000524521	-144.66723200933
1.0720000267029	-146.86950324082
1.0740000009537	-149.06518988051
1.0759999752045	-151.25457981784
1.0779999494553	-153.43793131302
1.0800000429153	-155.61535446578
1.0820000171661	-157.78701318438
1.0839999914169	-159.95297486064
1.0859999656677	-162.11325693625
1.0880000591278	-164.26785339726
1.0900000333786	-166.41683497946
1.0920000076294	-168.56014972957
1.0939999818802	-170.69775200865
1.0959999561310	-172.82964553037
1.0980000495911	-174.95581495515
1.1000000238419	-177.07628801179
1.1019999980927	-179.19106479530
1.1039999723434	178.69977288518
1.1059999465942	176.59612950623
1.1080000400543	174.49792265240
1.1100000143051	172.40497520937
1.1119999885559	170.31708139783
1.1139999628067	168.23401024888
1.1160000562668	166.15548801204
1.1180000305176	164.08124066030
1.1200000047684	162.01086178606
1.1219999790192	159.94408821212
1.1239999532700	157.88042672894
1.1260000467300	155.81952648140
1.1280000209808	153.76099004440
1.1299999952316	151.70431057490
1.1319999694824	149.64914793269
1.1339999437332	147.59500809773
1.1360000371933	145.54149821210
1.1380000114441	143.48827450696
1.1399999856949	141.43494331307
1.1419999599457	139.38115905411
1.1440000534058	137.32666840945
1.1460000276566	135.27124658763
1.1480000019073	133.21460773864
1.1499999761581	131.15668411144
1.1519999504089	129.09728841523
1.1540000438690	127.03650729351
1.1560000181198	124.97428033612
1.1579999923706	122.91069211000
1.1599999666214	120.84587064668
1.1619999408722	118.78001201197
1.1640000343323	116.71336338715
1.1660000085831	114.64616199740
1.1679999828339	112.57877266147
1.1699999570847	110.51157702050
1.1720000505447	108.44497909803
1.1740000247955	106.37939463936
1.1759999990463	104.31528419140
1.1779999732971	102.25311253914
1.1799999475479	100.19342833380
1.1820000410080	98.136666790165
1.1840000152588	96.083348376953
1.1859999895096	94.033963548909
1.1879999637604	91.988950331871
1.1900000572205	89.948800216902
1.1920000314713	87.913923019479
1.1940000057220	85.884673549503
1.1959999799728	83.861462533728
1.1979999542236	81.844534697083
1.2000000476837	79.834190602272
1.2020000219345	77.830650201176
1.2039999961853	75.834077713339
1.2059999704361	73.844551838858
1.2079999446869	71.862129862396
1.2100000381470	69.886813477745
1.2120000123978	67.918518186820
1.2139999866486	65.957160871857
1.2159999608994	64.002577367309
1.2180000543594	62.054499750257
1.2200000286102	60.112759070722
1.2220000028610	58.177029551397
1.2239999771118	56.246980782685
1.2259999513626	54.322257844954
1.2280000448227	52.402538974922
1.2300000190735	50.487410297937
1.2319999933243	48.576540297788
1.2339999675751	46.669525799631
1.2359999418259	44.766031772528
1.2380000352859	42.865766860882
1.2400000095367	40.968366861678
1.2419999837875	39.073590740074
1.2439999580383	37.181220038511
1.2460000514984	35.291112115142
1.2480000257492	33.403111504328
1.2500000000000	31.517158222149
1.2519999742508	29.633227418804
1.2539999485016	27.751403437618
1.2560000419617	25.871792108908
1.2580000162125	23.994580874268
1.2599999904633	22.119967895824
1.2619999647141	20.248303228445
1.2640000581741	18.379837604982
1.2660000324249	16.515005696232
1.2680000066757	14.654297300824
1.2699999809265	12.798098223316
1.2719999551773	10.946952063874
1.2740000486374	9.1014090130490
1.2760000228882	7.2619560071898
1.2779999971390	5.4291710850422
1.2799999713898	3.6035706013324
1.2819999456406	1.7857291776458
1.2840000391006	-0.023861037273684
1.2860000133514	-1.8247086883310
1.2879999876022	-3.6163220176774
1.2899999618530	-5.3983456650090
1.2920000553131	-7.1703701002523
1.2940000295639	-8.9321215313416
1.2960000038147	-10.683381355979
1.2979999780655	-12.423905942916
1.2999999523163	-14.153692482951
1.3020000457764	-15.872605749761
1.3040000200272	-17.580807268170
1.3059999942780	-19.278354735704
1.3079999685287	-20.965412060680
1.3099999427795	-22.642332688614
1.3120000362396	-24.309417736494
1.3140000104904	-25.967077525021
1.3159999847412	-27.615694366196
1.3179999589920	-29.255759384156
1.3200000524521	-30.887874791087
1.3220000267029	-32.512476638149
1.3240000009537	-34.130136848006
1.3259999752045	-35.741378411074
1.3279999494553	-37.346747834233
1.3300000429153	-38.946649861865
1.3320000171661	-40.541556449993
1.3339999914169	-42.131840313212
1.3359999656677	-43.717811386235
1.3380000591278	-45.299653564810
1.3400000333786	-46.877512077162
1.3420000076294	-48.451405535258
1.3439999818802	-50.021336090330
1.3459999561310	-51.587063630830
1.3480000495911	-53.148310439932
1.3500000238419	-54.704716860731
1.3519999980927	-56.255741353487
1.3539999723434	-57.800784561438
1.3559999465942	-59.339191015038
1.3580000400543	-60.870162231233
1.3600000143051	-62.392832659991
1.3619999885559	-63.906210107491
1.3639999628067	-65.409398241551
1.3660000562668	-66.901330099123
1.3680000305176	-68.380914105512
1.3700000047684	-69.847136806156
1.3719999790192	-71.298907694601
1.3739999532700	-72.735268071623
1.3760000467300	-74.155183311225
1.3780000209808	-75.557775143105
1.3799999952316	-76.942199948768
1.3819999694824	-78.307773752152
1.3839999437332	-79.653921794562
1.3860000371933	-80.980181681156
1.3880000114441	-82.286304191066
1.3899999856949	-83.572210622900
1.3919999599457	-84.837898967827
1.3940000534058	-86.083697879989
1.3960000276566	-87.310072410067
1.3980000019073	-88.517677121446
1.3999999761581	-89.707359392357
1.4019999504089	-90.880157562222
1.4040000438690	-92.037218983823
1.4060000181198	-93.179936902128
1.4079999923706	-94.309677374870
1.4099999666214	-95.428080039323
1.4119999408722	-96.536646951042
1.4140000343323	-97.637045023337
1.4160000085831	-98.730913875074
1.4179999828339	-99.819700112426
1.4199999570847	-100.90499069816
1.4220000505447	-101.98809359285
1.4240000247955	-103.07026953822
1.4259999990463	-104.15244497450
1.4279999732971	-105.23560194581
1.4299999475479	-106.32029053466
