frequency,phase
1.0000000000000,-91.716203690677
1.0019999742508,-94.241071732579
1.0039999485016,-96.721823302115
1.0060000419617,-99.159415943350
1.0080000162125,-101.55495438444
1.0099999904633,-103.90977924071
1.0119999647141,-106.22533524459
1.0140000581741,-108.50325903345
1.0160000324249,-110.74532284876
1.0180000066757,-112.95342069023
1.0199999809265,-115.12962825378
1.0219999551773,-117.27602849072
1.0240000486374,-119.39486174706
1.0260000228882,-121.48832717724
1.0279999971390,-123.55873740384
1.0299999713898,-125.60835362608
1.0319999456406,-127.63948889631
1.0340000391006,-129.65429754163
1.0360000133514,-131.65489913524
1.0379999876022,-133.64343061351
1.0399999618530,-135.62176505795
1.0420000553131,-137.59177101667
1.0440000295639,-139.55510704369
1.0460000038147,-141.51336388721
1.0479999780655,-143.46789174780
1.0499999523163,-145.41991806620
1.0520000457764,-147.37060590828
1.0540000200272,-149.32085604765
1.0559999942780,-151.27147872338
1.0579999685287,-153.22315004019
1.0599999427795,-155.17639224559
1.0620000362396,-157.13158997395
1.0640000104904,-159.08913457395
1.0659999847412,-161.04922208045
1.0679999589920,-163.01195790998
1.0700000524521,-164.97748184819
1.0720000267029,-166.94580601517
1.0740000009537,-168.91687586811
1.0759999752045,-170.89064966671
1.0779999494553,-172.86708755941
1.0800000429153,-174.84609470427
1.0820000171661,-176.82760083994
1.0839999914169,-178.81149751224
1.0859999656677,179.20224260309
1.0880000591278,177.21374245661
1.0900000333786,175.22298785793
1.0920000076294,173.23000688946
1.0939999818802,171.23477261397
1.0959999561310,169.23721490292
1.0980000495911,167.23733591301
1.1000000238419,165.23498274512
1.1019999980927,163.23007640647
1.1039999723434,161.22247922119
1.1059999465942,159.21201403328
1.1080000400543,157.19851605737
1.1100000143051,155.18179318971
1.1119999885559,153.16165343811
1.1139999628067,151.13790980162
1.1160000562668,149.11038134890
1.1180000305176,147.07886508870
1.1200000047684,145.04315324152
1.1219999790192,143.00301785689
1.1239999532700,140.95837496965
1.1260000467300,138.90900423135
1.1280000209808,136.85482325610
1.1299999952316,134.79568559303
1.1319999694824,132.73147928945
1.1339999437332,130.66210855135
1.1360000371933,128.58756281477
1.1380000114441,126.50777072204
1.1399999856949,124.42275964064
1.1419999599457,122.33250354621
1.1440000534058,120.23700176158
1.1460000276566,118.13636090362
1.1480000019073,116.03061560632
1.1499999761581,113.91984232912
1.1519999504089,111.80412167247
1.1540000438690,109.68353972991
1.1560000181198,107.55822931300
1.1579999923706,105.42835812458
