frequency,refcoef
1.0000000000000,-19.504737468773
1.0019999742508,-19.539664722658
1.0039999485016,-19.575938091250
1.0060000419617,-19.613357340319
1.0080000162125,-19.651725073180
1.0099999904633,-19.690851748596
1.0119999647141,-19.730551904640
1.0140000581741,-19.770646896750
1.0160000324249,-19.810968708844
1.0180000066757,-19.851355193521
1.0199999809265,-19.891656945674
1.0219999551773,-19.931732009411
1.0240000486374,-19.971448588150
1.0260000228882,-20.010686237282
1.0279999971390,-20.049337294354
1.0299999713898,-20.087301396543
1.0319999456406,-20.124491583665
1.0340000391006,-20.160829271698
1.0360000133514,-20.196249409201
1.0379999876022,-20.230693063686
1.0399999618530,-20.264113719296
1.0420000553131,-20.296469648841
1.0440000295639,-20.327729960957
1.0460000038147,-20.357871019167
1.0479999780655,-20.386871771408
1.0499999523163,-20.414720662125
1.0520000457764,-20.441407799277
1.0540000200272,-20.466928964038
1.0559999942780,-20.491280278402
1.0579999685287,-20.514462535622
1.0599999427795,-20.536477854891
1.0620000362396,-20.557326686049
1.0640000104904,-20.577014602490
1.0659999847412,-20.595544367900
1.0679999589920,-20.612918675806
1.0700000524521,-20.629141140497
1.0720000267029,-20.644214447833
1.0740000009537,-20.658143793062
1.0759999752045,-20.670931220594
1.0779999494553,-20.682579879206
1.0800000429153,-20.693096160937
1.0820000171661,-20.702484265714
1.0839999914169,-20.710753476700
1.0859999656677,-20.717912141659
1.0880000591278,-20.723972886234
1.0900000333786,-20.728950577662
1.0920000076294,-20.732865421105
1.0939999818802,-20.735739531142
1.0959999561310,-20.737602216322
1.0980000495911,-20.738484136673
1.1000000238419,-20.738423206450
1.1019999980927,-20.737462639493
1.1039999723434,-20.735648918324
1.1059999465942,-20.733037439333
1.1080000400543,-20.729687525982
1.1100000143051,-20.725660411804
1.1119999885559,-20.721026170063
1.1139999628067,-20.715858627986
1.1160000562668,-20.710233712994
1.1180000305176,-20.704232433062
1.1200000047684,-20.697938553468
1.1219999790192,-20.691438175232
1.1239999532700,-20.684818397469
1.1260000467300,-20.678167717714
1.1280000209808,-20.671576665579
1.1299999952316,-20.665130858588
1.1319999694824,-20.658920164064
1.1339999437332,-20.653030078246
1.1360000371933,-20.647542415552
1.1380000114441,-20.642538852664
1.1399999856949,-20.638095818524
1.1419999599457,-20.634285603560
1.1440000534058,-20.631178279227
1.1460000276566,-20.628835398110
1.1480000019073,-20.627316876440
1.1499999761581,-20.626677605263
1.1519999504089,-20.626962231848
1.1540000438690,-20.628215217162
1.1560000181198,-20.630474434861
1.1579999923706,-20.633769452863
1.1599999666214,-20.638128436013
1.1619999408722,-20.643570659707
1.1640000343323,-20.650115068888
1.1660000085831,-20.657771937450
1.1679999828339,-20.666549104707
1.1699999570847,-20.676452178189
1.1720000505447,-20.687481317499
1.1740000247955,-20.699635217595
1.1759999990463,-20.712910365842
1.1779999732971,-20.727300400217
1.1799999475479,-20.742799387144
1.1820000410080,-20.759400293737
1.1840000152588,-20.777096127445
1.1859999895096,-20.795881041372
1.1879999637604,-20.815751251805
1.1900000572205,-20.836701608850
1.1920000314713,-20.858732185441
1.1940000057220,-20.881843555550
1.1959999799728,-20.906042124474
1.1979999542236,-20.931335675538
1.2000000476837,-20.957735897120
1.2020000219345,-20.985258422744
1.2039999961853,-21.013923205027
1.2059999704361,-21.043754396608
1.2079999446869,-21.074779167369
1.2100000381470,-21.107032368495
1.2120000123978,-21.140547913413
1.2139999866486,-21.175367794627
1.2159999608994,-21.211535705742
1.2180000543594,-21.249097487741
1.2200000286102,-21.288103853877
1.2220000028610,-21.328606733876
1.2239999771118,-21.370661086395
1.2259999513626,-21.414321882690
1.2280000448227,-21.459647101091
1.2300000190735,-21.506693163813
1.2319999933243,-21.555515367366
1.2339999675751,-21.606171078068
1.2359999418259,-21.658713802055
1.2380000352859,-21.713194734336
1.2400000095367,-21.769664366585
1.2419999837875,-21.828167886198
1.2439999580383,-21.888748035450
1.2460000514984,-21.951440220710
1.2480000257492,-22.016276857102
1.2500000000000,-22.083285041585
1.2519999742508,-22.152483084424
1.2539999485016,-22.223886682182
1.2560000419617,-22.297500423673
1.2580000162125,-22.373324536797
1.2599999904633,-22.451349965967
1.2619999647141,-22.531560479803
1.2640000581741,-22.613930828310
1.2660000324249,-22.698427622096
1.2680000066757,-22.785012298960
1.2699999809265,-22.873633472571
1.2719999551773,-22.964235440332
1.2740000486374,-23.056752539373
1.2760000228882,-23.151111851143
1.2779999971390,-23.247233875962
1.2799999713898,-23.345032479202
1.2819999456406,-23.444415026666
1.2840000391006,-23.545283545467
1.2860000133514,-23.647535961234
1.2879999876022,-23.751065844475
1.2899999618530,-23.855764263753
1.2920000553131,-23.961519869644
1.2940000295639,-24.068221919930
1.2960000038147,-24.175756884864
1.2979999780655,-24.284016660552
1.2999999523163,-24.392894089909
1.3020000457764,-24.502285016371
1.3040000200272,-24.612092618242
1.3059999942780,-24.722224852821
1.3079999685287,-24.832596266300
1.3099999427795,-24.943130928078
1.3120000362396,-25.053761685347
1.3140000104904,-25.164431434519
1.3159999847412,-25.275091899945
1.3179999589920,-25.385707820922
1.3200000524521,-25.496253140587
1.3220000267029,-25.606713622690
1.3240000009537,-25.717086276319
1.3259999752045,-25.827376105725
1.3279999494553,-25.937600456484
1.3300000429153,-26.047782754576
1.3320000171661,-26.157958946664
1.3339999914169,-26.268165828495
1.3359999656677,-26.378449636841
1.3380000591278,-26.488857718432
1.3400000333786,-26.599443232954
1.3420000076294,-26.710254871291
1.3439999818802,-26.821346043159
1.3459999561310,-26.932763249041
